,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional
0,SUSHIUSDT,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1628371519873.0,0.0,0.0
1,BTSUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
2,INJUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
3,TRXBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
4,ZRXUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1614863230282.0,0.0,0.0
5,WAVESUSDT,1.06818192,0.1175,-8.9,1.06818192,0.0,11.0,0.0,4.13,25000.0,BOTH,5.0,11.75,0.0,1663525042458.0,0.0,0.0
6,SPELLUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
7,XTZUSDT,686.50132046,13.7300264,626.58914801,686.50132046,0.0,2.0,0.0,1.438762267952,10000000.0,BOTH,-1389.8,-1373.00264093,0.0,1667052274394.0,0.0,0.0
8,BNBUSDT,557.62508281,23.61619928,318.58333025,363.32614281,194.29894,10.0,0.0,296.4624725092,1000000.0,BOTH,-13.33,-3633.26142817,0.0,1668742321894.0,2628.5126,1942.9894
9,DARUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
10,HNTUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,1662540629061.0,0.0,0.0
11,ETCUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1648557466098.0,0.0,0.0
12,XMRUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1658944933137.0,0.0,0.0
13,ALICEUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1645714545278.0,0.0,0.0
14,REEFUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1617798328040.0,0.0,0.0
15,BATUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1606189707094.0,0.0,0.0
16,DOGEUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1652116964152.0,0.0,0.0
17,TRXUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1620874526547.0,0.0,0.0
18,STORJUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1602162968093.0,0.0,0.0
19,ETHUSDT_221230,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,375000.0,BOTH,0.0,0.0,0.0,1667987271615.0,0.0,0.0
20,SNXUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1658703725094.0,0.0,0.0
21,DOTBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
22,NEARBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
23,XLMUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1633862015942.0,0.0,0.0
24,APEBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
25,IOTXUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1639112719563.0,0.0,0.0
26,DASHUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1645242839134.0,0.0,0.0
27,KAVAUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,1650584140266.0,0.0,0.0
28,RUNEUSDT,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1650582858976.0,0.0,0.0
29,APEUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,150000.0,BOTH,0.0,0.0,0.0,1651269255196.0,0.0,0.0
30,BTCUSDT_221230,238.37438581,58.80647432,12.90504665,147.01618581,91.3582,20.0,0.0,16633.06062259,375000.0,BOTH,0.176,2940.32371622,0.0,1668744625094.0,1827.164,3562.2975
31,BNXUSDT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8000000.0,BOTH,0.0,0.0,0.0,1655294468061.0,0.0,0.0
32,BLUEBIRDUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
33,CVXBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
34,OPUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1663974815983.0,0.0,0.0
35,DGBUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1638595386735.0,0.0,0.0
36,SKLUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1648222269732.0,0.0,0.0
37,FOOTBALLUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
38,TOMOUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
39,MTLUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
40,LTCUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1636579426320.0,0.0,0.0
41,DODOBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
42,KSMUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
43,WAVESBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
44,BNBBUSD,2586.97246516,129.34862325,-184.76573047,2586.97246516,0.0,2.0,0.0,262.5883789474,5000000.0,BOTH,-19.0,-5173.94493033,0.0,1658235168504.0,0.0,0.0
45,ETCBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
46,TRBUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1605127172352.0,0.0,0.0
47,MANAUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,500000.0,BOTH,0.0,0.0,0.0,1645717791699.0,0.0,0.0
48,FLOWUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
49,CHRUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
50,AVAXBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
51,GALUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1655184864615.0,0.0,0.0
