,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time
0,SUSHIUSDT,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1628371519873.0,0.0,0.0,1.227,1.22807367,1.2250072,0.0001,0.0001,1668787200000.0,1668765956002.0
1,BTSUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.00784842,0.00784813,0.0,0.0001,0.0001,1668787200000.0,1668765956002.0
2,INJUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,1.726,1.72607696,1.725523,0.0001,0.0001,1668787200000.0,1668765956002.0
3,TRXBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0507313,0.05077913,0.05065417,-0.00042164,0.0001,1668787200000.0,1668765956002.0
4,ZRXUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1614863230282.0,0.0,0.0,0.1814732,0.18145982,0.18096972,0.0001,0.0001,1668787200000.0,1668765956002.0
5,WAVESUSDT,1.06818192,0.1175,-8.9,1.06818192,0.0,11.0,0.0,4.13,25000.0,BOTH,5.0,11.75,0.0,1663525042458.0,0.0,0.0,2.35,2.35030378,2.34754896,0.0001,0.0001,1668787200000.0,1668765956002.0
6,SPELLUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0006597,0.00066125,0.0006599,-0.00022071,0.0001,1668787200000.0,1668765956002.0
7,XTZUSDT,686.50132046,13.7300264,626.58914801,686.50132046,0.0,2.0,0.0,1.438762267952,10000000.0,BOTH,-1389.8,-1373.00264093,0.0,1667052274394.0,0.0,0.0,0.98791383,0.98784096,0.98523269,0.0001,0.0001,1668787200000.0,1668765956002.0
8,BNBUSDT,557.62508281,23.61619928,318.58333025,363.32614281,194.29894,10.0,0.0,296.4624725092,1000000.0,BOTH,-13.33,-3633.26142817,0.0,1668742321894.0,2628.5126,1942.9894,272.5627478,272.58067015,271.93556951,-4.612e-05,0.0,1668787200000.0,1668765956002.0
9,DARUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,0.13362205,0.13381346,0.13373885,0.0001,0.0001,1668787200000.0,1668765956002.0
10,HNTUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,1662540629061.0,0.0,0.0,2.47248013,2.47292533,2.4757818,-0.00110503,0.0001,1668787200000.0,1668765956002.0
11,ETCUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1648557466098.0,0.0,0.0,19.73440884,19.74767681,19.71580857,3.628e-05,0.0001,1668787200000.0,1668765956002.0
12,XMRUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1658944933137.0,0.0,0.0,133.52,133.55324096,133.20424681,0.0001,0.0001,1668787200000.0,1668765956002.0
13,ALICEUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1645714545278.0,0.0,0.0,1.19,1.19034585,1.18891082,0.0001,0.0001,1668787200000.0,1668765956002.0
14,REEFUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1617798328040.0,0.0,0.0,0.003116,0.00311837,0.00310888,0.0001,0.0001,1668787200000.0,1668765956002.0
15,BATUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1606189707094.0,0.0,0.0,0.2256,0.2256021,0.22500777,0.0001,0.0001,1668787200000.0,1668765956002.0
