,symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time
0,SUSHIUSDT,1.227,1.22807367,1.2250072,0.0001,0.0001,1668787200000.0,1668765956002.0
1,BTSUSDT,0.00784842,0.00784813,0.0,0.0001,0.0001,1668787200000.0,1668765956002.0
2,INJUSDT,1.726,1.72607696,1.725523,0.0001,0.0001,1668787200000.0,1668765956002.0
3,TRXBUSD,0.0507313,0.05077913,0.05065417,-0.00042164,0.0001,1668787200000.0,1668765956002.0
4,ZRXUSDT,0.1814732,0.18145982,0.18096972,0.0001,0.0001,1668787200000.0,1668765956002.0
5,WAVESUSDT,2.35,2.35030378,2.34754896,0.0001,0.0001,1668787200000.0,1668765956002.0
6,SPELLUSDT,0.0006597,0.00066125,0.0006599,-0.00022071,0.0001,1668787200000.0,1668765956002.0
7,BNBUSDT,272.5627478,272.58067015,271.93556951,-4.612e-05,0.0,1668787200000.0,1668765956002.0
8,XTZUSDT,0.98791383,0.98784096,0.98523269,0.0001,0.0001,1668787200000.0,1668765956002.0
9,DARUSDT,0.13362205,0.13381346,0.13373885,0.0001,0.0001,1668787200000.0,1668765956002.0
10,HNTUSDT,2.47248013,2.47292533,2.4757818,-0.00110503,0.0001,1668787200000.0,1668765956002.0
11,XMRUSDT,133.52,133.55324096,133.20424681,0.0001,0.0001,1668787200000.0,1668765956002.0
12,ETCUSDT,19.73440884,19.74767681,19.71580857,3.628e-05,0.0001,1668787200000.0,1668765956002.0
13,ALICEUSDT,1.19,1.19034585,1.18891082,0.0001,0.0001,1668787200000.0,1668765956002.0
14,REEFUSDT,0.003116,0.00311837,0.00310888,0.0001,0.0001,1668787200000.0,1668765956002.0
15,BATUSDT,0.2256,0.2256021,0.22500777,0.0001,0.0001,1668787200000.0,1668765956002.0
16,DOGEUSDT,0.08539,0.08542429,0.08535982,0.0001,0.0001,1668787200000.0,1668765956002.0
17,TRXUSDT,0.0507209,0.05078485,0.05068053,-0.0003886,0.0001,1668787200000.0,1668765956002.0
18,STORJUSDT,0.307,0.30723602,0.30653725,0.0001,0.0001,1668787200000.0,1668765956002.0
19,ETHUSDT_221230,1214.3772483,1216.2642643,1214.39577614,0.0,0.0,0.0,1668765956002.0
20,SNXUSDT,1.72519228,1.72527355,1.73323729,-0.00015663,0.0001,1668787200000.0,1668765956002.0
21,DOTBUSD,5.69404144,5.69658918,5.68563497,9.422e-05,0.0001,1668787200000.0,1668765956002.0
22,NEARBUSD,1.831,1.83105218,1.82892675,0.0001,0.0001,1668787200000.0,1668765956002.0
23,XLMUSDT,0.09025,0.09028907,0.09031931,0.0001,0.0001,1668787200000.0,1668765956002.0
24,APEBUSD,2.929,2.93090244,2.92931841,0.0001,0.0001,1668787200000.0,1668765956002.0
25,IOTXUSDT,0.02483,0.02484408,0.02475331,0.0001,0.0001,1668787200000.0,1668765956002.0
26,DASHUSDT,33.99,34.01243946,33.92249251,0.0001,0.0001,1668787200000.0,1668765956002.0
27,KAVAUSDT,0.93213617,0.93263935,0.9353866,-0.00019459,0.0001,1668787200000.0,1668765956002.0
28,RUNEUSDT,1.20579626,1.20570732,1.20388683,0.0001,0.0001,1668787200000.0,1668765956002.0
29,APEUSDT,2.932,2.93286159,2.93178998,0.0001,0.0001,1668787200000.0,1668765956002.0
30,BTCUSDT_221230,16706.3847513,16751.18407543,16741.07851749,0.0,0.0,0.0,1668765956002.0
31,BNXUSDT,152.76085893,152.88406321,152.78567381,0.0001,0.0001,1668787200000.0,1668765956002.0
32,BLUEBIRDUSDT,7.5300476,7.53431644,7.5220095,0.0001,0.0001,1668787200000.0,1668765956002.0
33,CVXBUSD,3.924,3.93062277,3.92572267,-7.647e-05,0.0001,1668787200000.0,1668765956002.0
34,OPUSDT,0.90130596,0.90123948,0.9004733,0.0001,0.0001,1668787200000.0,1668765956002.0
35,DGBUSDT,0.00690931,0.0069088,0.00692819,0.0001,0.0001,1668787200000.0,1668765956002.0
36,SKLUSDT,0.02660569,0.02663708,0.02664632,0.0001,0.0001,1668787200000.0,1668765956002.0
37,FOOTBALLUSDT,922.34938778,920.54535207,911.30092682,0.00017222,0.0001,1668787200000.0,1668765956002.0
38,TOMOUSDT,0.3032,0.30386494,0.30421012,8.079e-05,0.0001,1668787200000.0,1668765956002.0
39,MTLUSDT,0.6924,0.69249641,0.69188441,0.0001,0.0001,1668787200000.0,1668765956002.0
40,LTCUSDT,62.73029289,62.75710272,62.44969575,0.0001,0.0001,1668787200000.0,1668765956002.0
41,DODOBUSD,0.11439293,0.1143845,0.11382437,0.0001,0.0001,1668787200000.0,1668765956002.0
42,KSMUSDT,24.52525607,24.53395542,24.52499921,0.0001,0.0001,1668787200000.0,1668765956002.0
43,WAVESBUSD,2.348,2.34775209,2.34549953,0.0001,0.0001,1668787200000.0,1668765956002.0
44,BNBBUSD,272.31289107,272.46510834,271.73964446,-3.517e-05,0.0,1668787200000.0,1668765956002.0
45,ETCBUSD,19.722,19.72978331,19.70360961,7.796e-05,0.0001,1668787200000.0,1668765956002.0
46,TRBUSDT,11.59,11.59738672,11.61550738,0.0001,0.0001,1668787200000.0,1668765956002.0
47,MANAUSDT,0.4204,0.42037428,0.41911493,0.0001,0.0001,1668787200000.0,1668765956002.0
48,FLOWUSDT,1.218,1.2186367,1.21870273,-0.00017067,0.0001,1668787200000.0,1668765956002.0
49,CHRUSDT,0.113,0.11311541,0.11338218,0.0001,0.0001,1668787200000.0,1668765956002.0
50,AVAXBUSD,13.111,13.11199918,13.07359614,5.371e-05,0.0001,1668787200000.0,1668765956002.0
51,GALUSDT,1.4185,1.41862605,1.41770138,7.852e-05,0.0001,1668787200000.0,1668765956002.0
52,OGNUSDT,0.10337437,0.1034697,0.10327308,0.0001,0.0001,1668787200000.0,1668765956002.0
53,SCUSDT,0.00234249,0.0023424,0.0,0.0001,0.0001,1668787200000.0,1668765956002.0
54,GALBUSD,1.41512631,1.41755234,1.41642283,-3.28e-05,0.0001,1668787200000.0,1668765956002.0
55,STMXUSDT,0.00506498,0.00508698,0.00509358,-0.00126279,0.0001,1668787200000.0,1668765956002.0
56,KNCUSDT,0.6079,0.60792614,0.60716651,8.904e-05,0.0001,1668787200000.0,1668765956002.0
57,SRMUSDT,0.25228481,0.2522755,0.0,0.0001,0.0001,1668787200000.0,1668765956002.0
58,ENJUSDT,0.30997315,0.30995029,0.30952538,9.263e-05,0.0001,1668787200000.0,1668765956002.0
59,ATOMUSDT,10.16,10.16730608,10.12691964,5.48e-06,0.0001,1668787200000.0,1668765956002.0
60,SOLBUSD,13.615,13.63522757,13.56121599,-0.0005481,0.0001,1668787200000.0,1668765956002.0
61,ENSUSDT,13.10421576,13.10351723,13.0120606,0.0001,0.0001,1668787200000.0,1668765956002.0
62,FILBUSD,4.34765915,4.34812729,4.34528736,0.0001,0.0001,1668787200000.0,1668765956002.0
63,ATAUSDT,0.10230375,0.10233316,0.10250287,0.0001,0.0001,1668787200000.0,1668765956002.0
64,IOSTUSDT,0.00815,0.00815239,0.00815371,0.0001,0.0001,1668787200000.0,1668765956002.0
65,HBARUSDT,0.04876,0.04877234,0.04868981,-1.795e-05,0.0001,1668787200000.0,1668765956002.0
66,ZECUSDT,39.28,39.28583516,39.25429526,0.0001,0.0001,1668787200000.0,1668765956002.0
67,GALAUSDT,0.02761,0.02762117,0.02762394,0.0001,0.0001,1668787200000.0,1668765956002.0
68,GTCUSDT,1.70551769,1.7053919,1.71248465,-7.96e-05,0.0001,1668787200000.0,1668765956002.0
69,ALGOUSDT,0.27454724,0.27463678,0.27400289,0.0001,0.0001,1668787200000.0,1668765956002.0
