,exchange,account,symbol,markPrice,positionAmt,positionValue,symbol_pair,forcePrice,数量对冲-VolumeHedge,市值对冲-MarketCapHedge
152,Binance,BinanceK,1INCH,0.5286,1454.0,768.5844,1INCH-USDT,,1454.0,768.5844
159,Binance,BinanceA,AAVE,58.8,-46.9,-2757.72,AAVE-USDT,,-46.9,-2757.72
78,Binance,BinanceA,AR,9.1410965,-2513.8,-22978.888381700002,AR-USDT,,-2.2737367544323206e-13,5.533618299998125
38,Bybit,Bybit,AR,9.15,1460.8,13366.32,AR-USDT,0.01,-2.2737367544323206e-13,5.533618299998125
0,Bitget,Bitget,AR,9.134,1053.0,9618.102,AR-USDT,,-2.2737367544323206e-13,5.533618299998125
85,Binance,BinanceA,BAND,1.73253486,-499.6,-865.574416056,BAND-USDT,,-2364.6,-4095.754416056
3,Okx,Okx,BAND,1.732,-1865.0,-3230.18,BAND-USDT,,-2364.6,-4095.754416056
302,Binance,BinanceK,BCH,115.72,12.733,1473.4627600000001,BCH-USDT,,12.733,1473.4627600000001
7,Okx,Okx,BICO,0.289,7523.0,2174.147,BICO-USDT,,141.0,37.796200000000226
62,Bybit,Bybit,BICO,0.2894,-7382.0,-2136.3507999999997,BICO-USDT,12.1069,141.0,37.796200000000226
8,Binance,BinanceA,BNB,298.54450688,-15.05,-4493.094828544,BNB-USDT,,-38.379999999999995,-11453.2864870098
44,Binance,BinanceA,BNB,298.33770645,-19.0,-5668.41642255,BNB-BUSD,,-38.379999999999995,-11453.2864870098
89,Binance,BinanceK,BNB,298.33146326,-4.33,-1291.7752359158,BNB-BUSD,,-38.379999999999995,-11453.2864870098
106,Binance,BinanceA,BTC,16542.4,0.224,3705.4976000000006,BTC-BUSD,,10.575,175099.0003
176,Binance,BinanceA,BTC,16552.6,0.102,1688.3651999999997,BTC-USDT,,10.575,175099.0003
212,Binance,BinanceK,BTC,16542.4,0.8,13233.920000000002,BTC-BUSD,,10.575,175099.0003
352,Binance,BinanceK,BTC,16551.9,0.51,8441.469000000001,BTC-USDT,,10.575,175099.0003
