exchange,account,symbol
Binance,BinanceK,1INCH
Okx,Okx,1INCH
Bybit,Bybit,1INCH
Binance,BinanceA,AAVE
Gate,Gate,ATLAS
Binance,BinanceA,BAND
Okx,Okx,BAND
Binance,BinanceK,BCH
Binance,BinanceA,BNB
Binance,BinanceA,BNB
Binance,BinanceK,BNB
Binance,BinanceA,BNX
Binance,BinanceA,BTC
Binance,BinanceA,BTC
Binance,BinanceK,BTC
Binance,BinanceK,BTC
Okx,Okx,BTC
Bybit,Bybit,BTC
Bitget,Bitget,BTC
Binance,BinanceA,BTCDOM
Binance,BinanceK,BTCDOM
Binance,BinanceA,BTC_221230
Binance,BinanceK,BTC_221230
Coinex,Coinex,CHZ
Binance,BinanceA,CHZ
Binance,BinanceA,COMP
Binance,BinanceK,COMP
Okx,Okx,COMP
Binance,BinanceK,COTI
Binance,BinanceK,DOT
Okx,Okx,DOT
Binance,BinanceA,EOS
Binance,BinanceK,EOS
Binance,BinanceA,ETH
Binance,BinanceA,ETH
Binance,BinanceK,ETH
Binance,BinanceK,ETH
Okx,Okx,ETH
Bybit,Bybit,ETH
Binance,BinanceK,ETH_221230
Binance,BinanceK,FIL
Gate,Gate,FIL6
Gate,Gate,FTT
Gate,Gate,GT
Binance,BinanceK,KNC
Binance,BinanceA,LINK
Binance,BinanceK,LTC
Okx,Okx,LTC
Gate,Gate,OLDLUNA
Binance,BinanceA,ONT
Gate,Gate,RON
Gate,Gate,STEP
Coinex,Coinex,THETA
Gate,Gate,UST
Binance,BinanceA,WAVES
Binance,BinanceK,XEM
Bybit,Bybit,XEM
Gate,Gate,XEM
Gate,Gate,XMR
Binance,BinanceA,XTZ
Okx,Okx,YFI
Gate,Gate,ZRX
